1,ספק ראשי
2,רומן
3,ברמן
4,תנובה
5,שטראוס
6,רוסמן
7,חנוכה ר.ד. בע"מ
8,שיווק לי
9,מניה 
10,גלוברנדס בע"מ
11,ביו ייטס יבוא מזון
12,ש.ב. קריספי  בע"מ
13,סאטורן גרופ בע"מ
14,קבוצת אוסם סחר שות. מוגבלת
15,פרי זה לי בע"מ
16,מפעלי אירינה לבצק ממולאים בע?"
17,קינגס דויד סיגאר
18,דולינה גרופ בע"מ
19,בלפרוסט בע"מ
20,פיליפ מוריס בע"מ
21,א.ת טעמים בע"מ
22,מניה ואבידן בע"מ
23,שלמה אלפיה
24,מאמא מרי בע"מ
25,פרסל 
26,יפוארה
27,דברים טובים
28,ולדמן ביח"ר לנקניקים
29,מחסני יבוא ושיווק
30,אטאס שווק והנדסה 
31,שימורי איכות
32,פרוטרי שיווק בע"מ
33,מעדניה תמרה
34,יורוסטנדרט בע"מ
35,צבר סלטים
36,חמישה כוכבים
37,ישרקו  שיווק מזון
38,יורוציז יבוא ושיווק בע"מ
39,לטפוד
40,ר.כ. עוגיות הזהב בע"מ
41,החברה המרכזית להפצת משקאות בע"
42,מדג סי
43,דילר בי אמ די פורמולה
44,ברון מפעל לייצור עוגות בע"מ
45,תומר ייבוא ושיווק מוצרי מזון ב
46,ש.י.א שגב
47,אלפא מגה  פוד בע"מ
48,שטראו גרופ בע"מ
49,גרוסברג גבריאל
50,בטר ציוס
51,חיים פסקוביץ ובניו בע"מ
52,יוסף לוי עסקי מזון בע"מ
53,א.שים שיווק בע"מ
54,שויצריה קטנה
55,ניסן אנג'ל
56,בולוס נאיל
57,טיפ טופ
58,ולס ייצור ושיווק מזון
59,רימון אריזות ויזמות בעמ
60,חנוכה לעד
61,אינטרפרוסט
62,דדוש דניאל שיווק מזון
63,א.ג.ת.ד.שיווק והפצה
64,א.ר.ד.י.ו בע"מ
65,שטראוס פריטו ליי בעמ
66,קרל ברג
67,א.קבו
68,גביה כדין  2007 בעמ
69,הרמס סלטים וחמוצים בע"מ
70,שקד
0,---
